Pavarde             Vardas              Nd1      Nd2      Nd3      Nd4      Nd5      Nd6      Nd7      Egz      
Pavarde1            Vardas1             2        3        3        8        1        7        9        6        
Pavarde2            Vardas2             7        3        8        8        1        4        6        3        
Pavarde3            Vardas3             2        8        4        1        10       3        7        8        
Pavarde4            Vardas4             7        3        3        1        7        2        5        3        
Pavarde5            Vardas5             6        8        5        10       4        3        10       6        
Pavarde6            Vardas6             4        8        3        2        6        3        8        6        
Pavarde7            Vardas7             4        2        4        10       5        6        3        9        
Pavarde8            Vardas8             5        5        5        7        5        5        1        6        
Pavarde9            Vardas9             1        1        3        4        3        6        1        5        
Pavarde10           Vardas10            1        8        4        10       10       9        10       4        
Pavarde11           Vardas11            1        7        4        4        1        5        10       10       
Pavarde12           Vardas12            1        10       3        6        2        8        2        9        
Pavarde13           Vardas13            2        5        4        9        5        7        5        3        
Pavarde14           Vardas14            3        5        1        10       1        8        3        3        
Pavarde15           Vardas15            5        4        7        7        8        10       7        8        
Pavarde16           Vardas16            2        2        3        6        6        4        3        3        
Pavarde17           Vardas17            3        3        8        7        4        4        2        5        
Pavarde18           Vardas18            9        2        9        4        5        3        10       1        
Pavarde19           Vardas19            3        4        3        8        3        2        8        3        
Pavarde20           Vardas20            4        4        9        2        3        4        1        7        
Pavarde21           Vardas21            8        5        1        6        8        3        8        1        
Pavarde22           Vardas22            7        6        2        1        1        5        2        6        
Pavarde23           Vardas23            2        5        1        4        9        10       4        3        
Pavarde24           Vardas24            5        1        7        1        2        1        9        7        
Pavarde25           Vardas25            4        8        8        8        4        9        6        10       
Pavarde26           Vardas26            9        4        5        1        4        6        8        9        
Pavarde27           Vardas27            5        2        8        8        9        5        3        1        
Pavarde28           Vardas28            8        7        2        1        10       2        3        4        
Pavarde29           Vardas29            1        2        9        10       4        10       3        4        
Pavarde30           Vardas30            5        10       6        6        9        1        4        8        
Pavarde31           Vardas31            2        7        3        2        7        7        8        8        
Pavarde32           Vardas32            1        3        8        3        7        4        6        9        
Pavarde33           Vardas33            8        7        7        2        2        10       10       3        
Pavarde34           Vardas34            6        8        2        9        3        4        8        4        
Pavarde35           Vardas35            8        3        9        1        5        6        7        2        
Pavarde36           Vardas36            2        3        6        5        8        4        10       8        
Pavarde37           Vardas37            8        2        10       3        8        10       4        7        
Pavarde38           Vardas38            9        2        6        9        3        3        5        4        
Pavarde39           Vardas39            9        8        9        8        10       1        3        6        
Pavarde40           Vardas40            6        4        2        9        4        7        7        4        
Pavarde41           Vardas41            1        5        10       10       1        1        7        1        
Pavarde42           Vardas42            2        9        2        10       4        4        10       7        
Pavarde43           Vardas43            5        2        1        7        10       10       6        6        
Pavarde44           Vardas44            8        7        10       4        1        7        5        5        
Pavarde45           Vardas45            8        10       6        3        1        6        8        5        
Pavarde46           Vardas46            7        4        7        8        3        4        8        2        
Pavarde47           Vardas47            8        7        7        4        5        4        3        5        
Pavarde48           Vardas48            7        9        4        5        3        3        3        9        
Pavarde49           Vardas49            9        2        3        8        8        7        7        1        
Pavarde50           Vardas50            3        10       1        1        9        2        9        3        
Pavarde51           Vardas51            5        10       9        4        9        8        3        5        
Pavarde52           Vardas52            1        8        9        2        6        5        1        8        
Pavarde53           Vardas53            5        10       7        5        1        9        10       3        
Pavarde54           Vardas54            8        3        2        6        9        4        6        1        
Pavarde55           Vardas55            8        5        3        5        2        6        8        8        
Pavarde56           Vardas56            3        9        7        10       1        4        1        2        
Pavarde57           Vardas57            9        3        10       9        9        4        7        3        
Pavarde58           Vardas58            9        3        8        4        2        6        9        5        
Pavarde59           Vardas59            1        5        6        3        7        1        3        9        
Pavarde60           Vardas60            5        8        3        3        5        1        10       5        
Pavarde61           Vardas61            4        7        3        4        4        10       9        10       
Pavarde62           Vardas62            2        4        1        2        7        5        9        4        
Pavarde63           Vardas63            9        6        8        3        3        1        4        9        
Pavarde64           Vardas64            5        4        3        10       8        8        6        7        
Pavarde65           Vardas65            10       9        4        9        2        8        4        10       
Pavarde66           Vardas66            9        6        5        3        6        1        4        1        
Pavarde67           Vardas67            5        7        3        5        4        5        9        9        
Pavarde68           Vardas68            3        7        6        10       2        5        1        2        
Pavarde69           Vardas69            4        5        1        6        8        1        1        6        
Pavarde70           Vardas70            4        7        9        3        9        3        10       4        
Pavarde71           Vardas71            7        7        6        7        5        3        8        5        
Pavarde72           Vardas72            5        8        2        4        7        1        2        3        
Pavarde73           Vardas73            3        3        2        7        3        5        3        8        
Pavarde74           Vardas74            3        3        7        1        9        3        6        6        
Pavarde75           Vardas75            6        2        3        10       2        5        2        7        
Pavarde76           Vardas76            4        5        10       3        7        2        8        4        
Pavarde77           Vardas77            7        10       8        3        7        7        9        3        
Pavarde78           Vardas78            8        6        1        7        2        4        2        7        
Pavarde79           Vardas79            7        2        7        8        8        4        8        2        
Pavarde80           Vardas80            7        6        8        8        7        3        9        4        
Pavarde81           Vardas81            3        8        7        1        6        3        1        6        
Pavarde82           Vardas82            9        1        6        9        4        8        1        4        
Pavarde83           Vardas83            1        9        6        6        9        8        5        1        
Pavarde84           Vardas84            7        4        3        1        8        2        7        3        
Pavarde85           Vardas85            9        8        9        7        8        6        9        4        
Pavarde86           Vardas86            2        4        8        1        3        6        8        7        
Pavarde87           Vardas87            9        6        7        10       4        7        5        5        
Pavarde88           Vardas88            1        7        10       3        4        2        5        4        
Pavarde89           Vardas89            10       7        10       7        8        7        8        4        
Pavarde90           Vardas90            1        6        1        6        8        3        10       1        
Pavarde91           Vardas91            1        3        10       1        5        9        9        10       
Pavarde92           Vardas92            3        7        5        8        6        1        4        1        
Pavarde93           Vardas93            1        3        1        4        10       3        3        4        
Pavarde94           Vardas94            7        1        7        6        4        6        10       4        
Pavarde95           Vardas95            5        3        6        9        8        4        1        5        
Pavarde96           Vardas96            5        7        5        1        8        1        9        4        
Pavarde97           Vardas97            6        8        10       4        3        2        5        4        
Pavarde98           Vardas98            1        10       8        8        2        9        5        10       
Pavarde99           Vardas99            3        4        9        8        6        10       9        10       
Pavarde100          Vardas100           3        3        4        10       9        8        9        9        
Pavarde101          Vardas101           6        5        4        8        1        8        10       7        
Pavarde102          Vardas102           9        1        5        6        4        5        3        2        
Pavarde103          Vardas103           10       8        10       4        10       8        7        2        
Pavarde104          Vardas104           4        7        6        4        3        6        10       8        
Pavarde105          Vardas105           2        6        3        9        10       4        4        10       
Pavarde106          Vardas106           4        6        3        7        10       6        10       1        
Pavarde107          Vardas107           5        1        2        9        5        7        1        4        
Pavarde108          Vardas108           2        1        4        8        3        7        5        1        
Pavarde109          Vardas109           2        10       1        1        10       4        8        9        
Pavarde110          Vardas110           9        2        3        4        5        8        3        3        
Pavarde111          Vardas111           8        7        2        9        7        1        6        5        
Pavarde112          Vardas112           4        2        9        9        3        2        10       6        
Pavarde113          Vardas113           7        9        8        6        5        8        8        7        
